trial_type,audio_path,video_path,image_path,button_position_x,button_position_y,button_width,button_height,background_image,overlay_image_1,overlay_image_2,correct_response
training,audio/Teacher_intro_pos.wav,video/Teacher_intro_pos_vo.mp4,,,,,,,,,
practice,audio/silence.wav,,image/Teacher.png,700,350,175,375,,,,
training,audio/Student_intro_pos.wav,video/Student_intro_pos_vo.mp4,,,,,,,,,
practice,audio/silence.wav,,image/Table.png,375,500,350,125,,,,
training,audio/Peer_conversation_pos_right.wav,video/Peer_conversation_pos_right_vo.mp4,,,,,,,,,
practice,audio/silence.wav,,image/Box.png,850,250,175,175,,,,
training,audio/Labeling_crayon.wav,video/Labeling_crayon_vo.mp4,,,,,,,,,
practice,audio/silence.wav,,image/Crayon.png,415,275,175,175,,,,
training,audio/Labeling_gluestick.wav,video/Labeling_gluestick_vo.mp4,,,,,,,,,
practice,audio/silence.wav,,image/Gluestick.png,575,300,175,175,,,,
training,audio/Labeling_novel.wav,video/Labeling_novel_vo.mp4,,,,,,,,,
training,audio/Labeling_paintbrush.wav,video/Labeling_paintbrush_vo.mp4,,,,,,,,,
practice,audio/silence.wav,,image/Paintbrush.png,415,275,175,175,,,,
training,audio/Labeling_scissors.wav,video/Labeling_scissors_vo.mp4,,,,,,,,,
practice,audio/silence.wav,,image/Scissors.png,575,300,175,175,,,,
training,audio/Labeling_novel.wav,video/Labeling_novel_vo.mp4,,,,,,,,,
training,audio/End.wav,video/End_vo.mp4,,,,,,,,,
test,audio/Fiffin_audio.wav,,,,,,,image/rug_background.png,image/Fiffin.png,image/Manu.png,button1
test,audio/Shill_audio.wav,,,,,,,image/rug_background.png,image/Koba.png,image/Shill.png,button2
test,audio/Manu_audio.wav,,,,,,,image/rug_background.png,image/Manu.png,image/Fiffin.png,button1
test,audio/Koba_audio.wav,,,,,,,image/rug_background.png,image/Shill.png,image/Koba.png,button2
test,audio/Fiffin_audio.wav,,,,,,,image/rug_background.png,image/Manu.png,image/Fiffin.png,button2
test,audio/Shill_audio.wav,,,,,,,image/rug_background.png,image/Shill.png,image/Koba.png,button1
test,audio/Fiffin_audio.wav,,,,,,,image/rug_background.png,image/Fiffin.png,image/Manu.png,button1
test,audio/Shill_audio.wav,,,,,,,image/rug_background.png,image/Koba.png,image/Shill.png,button2
test,audio/Koba_audio.wav,,,,,,,image/rug_background.png,image/Shill.png,image/Koba.png,button2
test,audio/Manu_audio.wav,,,,,,,image/rug_background.png,image/Manu.png,image/Fiffin.png,button1
test,audio/Koba_audio.wav,,,,,,,image/rug_background.png,image/Koba.png,image/Shill.png,button1
test,audio/Shill_audio.wav,,,,,,,image/rug_background.png,image/Shill.png,image/Koba.png,button1
test,audio/Manu_audio.wav,,,,,,,image/rug_background.png,image/Fiffin.png,image/Manu.png,button2
test,audio/Koba_audio.wav,,,,,,,image/rug_background.png,image/Koba.png,image/Shill.png,button1
test,audio/Fiffin_audio.wav,,,,,,,image/rug_background.png,image/Manu.png,image/Fiffin.png,button2
test,audio/Manu_audio.wav,,,,,,,image/rug_background.png,image/Fiffin.png,image/Manu.png,button2